10/21/2011,0:00,F,13400 APPALACHIAN WY,32.9598846,-117.1241207
10/21/2011,23:30,M,2300 SANTO RD,32.7913226,-117.1054223
10/21/2011,18:00,5,2700 MADISON AV,32.761054,-117.1351543
10/21/2011,18:00,6,3800 RADCLIFFE LN,32.8522867,-117.2055953
10/21/2011,17:00,6,1900 HOTEL CIRCLE NORTH,32.7597141,-117.1809899
10/21/2011,18:00,5,5300 TOSCANA WY,32.8692039,-117.2033317
10/21/2011,12:20,6,3100 TALBOT ST,32.7204418,-117.2339131
10/21/2011,15:15,A,2900 MARCY AV,32.6975864,-117.1316463
10/21/2011,22:15,5,2500 DUSK DR,32.67765,-117.0487334
10/21/2011,14:00,M,2700 ISLAND AV,32.7105679,-117.1359848
10/21/2011,20:00,5,3500 MADISON AV,32.7609899,-117.1181716
10/21/2011,20:00,F,1200 UNIVERSITY AV,32.7485954,-117.1534537
10/21/2011,11:00,A,10200 CLAMAGORO CR,32.8024309,-117.1098846
10/21/2011,19:41,8,700 S 47TH ST,32.6986226,-117.093752
10/21/2011,15:45,6,11900 CARMEL MOUNTAIN RD,32.9816141,-117.0771836
10/21/2011,11:01,A,3800 MARQUETTE PL,32.7512338,-117.2198843
10/21/2011,16:00,4,8400 MIRA MESA BL,32.9128333,-117.1427726
10/21/2011,12:00,5,5400 55TH ST,32.7751967,-117.0769247
10/21/2011,12:00,Z,5900 RAIL CT,32.5441962,-117.0287026
10/21/2011,10:00,5,5200 RINCON ST,32.7729294,-117.0620075
10/21/2011,20:23,5,1400 05TH AV,32.7202554,-117.1602376
10/21/2011,16:00,5,4300 ILLINOIS ST,32.7554351,-117.12775
10/21/2011,13:00,6,4100 WEST POINT LOMA BL,32.753737,-117.2236306
10/21/2011,17:00,5,7000 CONSOLIDATED WY,32.8782602,-117.1646813
10/21/2011,14:00,5,5800 OBERLIN DR,32.8933725,-117.1938631
10/21/2011,15:00,A,3500 SHORELINE BLUFF LN,32.7492791,-117.2158779
10/21/2011,10:00,5,1600 07TH AV,32.7220104,-117.1584302
10/21/2011,8:00,5,1400 CARLY CT,32.6959922,-117.0471201
10/21/2011,11:50,6,3800 OLD TOWN AV,32.7472396,-117.1934883
10/21/2011,9:30,5,4100 PACIFIC HY,32.7439554,-117.1922837
10/21/2011,19:05,6,6900 PASEO LAREDO,32.8330674,-117.2573007
10/21/2011,9:30,6,8600 GENESEE AV,32.8681104,-117.2141023
10/21/2011,11:00,F,300 WASHINGTON ST,32.7499912,-117.1661806
10/21/2011,8:16,Z,4200 TONOPAH AV,32.7773968,-117.2071441
10/21/2011,17:00,F,5800 LAURETTA ST,32.7681074,-117.1890086
10/21/2011,20:00,5,6100 CORNERSTONE CT,32.8968318,-117.1889606
10/21/2011,4:00,5,2900 CLAIREMONT DR,32.7920158,-117.1969829
10/21/2011,19:37,Z,13700 VIA TRES VISTA,32.9639967,-117.1190907
10/21/2011,14:44,Z,6300 LAKE ARIANA AV,32.7952342,-117.0126935
10/21/2011,8:00,A,1800 IRVING AV,32.7052433,-117.1436718
10/21/2011,6:45,5,11000 CLAIREMONT MESA BL,32.8283311,-117.0914236
10/21/2011,3:00,5,3700 OCEAN FRONT WK,32.7153292,-117.1572551
10/21/2011,9:45,4,300 S EUCLID AV,32.7023916,-117.0850707
10/21/2011,13:30,6,1600 CAMINO DEL RIO NORTH,32.7671254,-117.1486705
10/21/2011,15:27,5,1700 CAMINO DEL RIO NORTH,32.7674529,-117.1473129
10/21/2011,15:00,M,2300 SEASIDE ST,32.7487204,-117.2383688
10/21/2011,8:00,3,3900 POLK AV,32.7515392,-117.1106301
10/22/2011,3:30,5,500 COAST BL,32.8435049,-117.2800098
10/22/2011,3:00,5,700 SAN LUIS REY PL,32.7614712,-117.2515466
10/22/2011,15:30,M,10600 TIERRASANTA BL,32.8232152,-117.1009928
10/22/2011,0:45,M,5400 GRAPE ST,32.7258574,-117.0830029
10/22/2011,22:00,5,7100 NAVAJO RD,32.8046369,-117.0426528
10/22/2011,23:00,5,11200 ALEJO LN,32.833412,-117.0819785
10/22/2011,4:35,6,4000 MANZANITA DR,32.7339288,-117.1090613
10/22/2011,2:30,6,4000 ALABAMA ST,32.7503403,-117.1425507
10/22/2011,3:30,4,4100 CLEVELAND AV,32.7522518,-117.1493916
10/22/2011,8:30,6,1000 MORENA BL,32.7679607,-117.1994081
10/22/2011,0:20,4,3400 36TH ST,32.7413562,-117.1145139
10/22/2011,4:45,5,300 W WASHINGTON ST,32.7499912,-117.1661806
10/22/2011,12:00,4,100 S EUCLID AV,32.7040867,-117.0850954
10/22/2011,2:00,M,500 11TH AV,32.710469,-117.1546815
10/22/2011,23:00,6,11800 RANCHO BERNARDO RD,33.0235223,-117.0801286
10/22/2011,20:00,6,4400 GREENE ST,32.7472362,-117.2359993
10/22/2011,21:45,6,6900 LINDA VISTA RD,32.7833919,-117.1718254
10/22/2011,14:00,6,3400 COLLEGE AV,32.7429847,-117.0519586
10/22/2011,18:00,5,3600 MIDWAY DR,32.7521284,-117.2151329
10/22/2011,21:20,6,4100 ORANGE AV,32.7532383,-117.1062802
10/22/2011,19:24,6,8500 COSTA VERDE BL,32.8672541,-117.2165799
10/22/2011,6:38,5,7000 PARK MESA WY,32.7976985,-117.169181
10/22/2011,17:30,5,2300 GREENWING DR,32.7871422,-117.1510216
10/22/2011,12:00,F,18600 CAMINITO CANTILENA,33.0522798,-117.0710412
10/22/2011,10:10,5,4400 FELTON ST,32.7572539,-117.1211662
10/22/2011,8:00,F,6300 ESTRELLA AV,32.7872146,-117.0895769
10/22/2011,22:30,6,900 4TH AV,32.7156752,-117.1611154
10/22/2011,1:00,6,1900 GARNET AV,32.8010183,-117.2353226
10/22/2011,3:30,5,4000 SWIFT AV,32.7498252,-117.1193479
10/22/2011,19:00,5,4300 LA JOLLA VILLAGE DR,32.8735869,-117.2106107
10/22/2011,14:45,6,4900 EL CAJON BL,32.7565818,-117.0890072
10/22/2011,17:00,5,6400 LAKE ARROWHEAD DR,32.7966009,-117.0098853
10/22/2011,22:00,5,200 COAST BL,32.8395893,-117.2810447
10/22/2011,16:30,M,3600 MIDWAY DR,32.7521284,-117.2151329
10/22/2011,23:00,3,700 C ST,32.7168019,-117.1583481
10/22/2011,0:54,4,6100 DAISY AV,32.6940498,-117.0667199
10/22/2011,1:00,C,600 STORK ST,32.7113188,-117.061212
10/22/2011,20:00,Z,2000 TALON WY,32.7806084,-117.1566256
10/22/2011,2:00,V,3800 MIDWAY DR,32.753878,-117.2178849
10/22/2011,1:45,4,4300 MISSION BL,32.7936668,-117.2546777
10/22/2011,16:00,4,1300 PACIFIC BEACH DR,32.7929763,-117.2446156
10/22/2011,12:00,4,2700 WHEATSTONE ST,32.7921678,-117.1781639
10/22/2011,21:00,6,1700 EAST MISSION BAY DR,32.7773665,-117.2096104
10/22/2011,20:00,6,1100 COAST BL,32.8489703,-117.2743422
10/22/2011,16:00,6,5100 EAST FALLS VIEW DR,32.7706427,-117.065081
10/22/2011,22:00,6,1600 DIAMOND ST,32.8025864,-117.2417161
10/22/2011,9:00,F,3700 TORREY VIEW CT,32.9210674,-117.2337146
10/22/2011,3:18,6,16900 WEST BERNARDO DR,33.0216547,-117.081427
10/22/2011,2:00,6,2200 POINTSETTIA DR,32.7401618,-117.2289587
10/22/2011,16:00,6,15500 SAN PASQUAL VALLEY RD,33.0963683,-117.0021843
10/22/2011,19:00,6,2300 POIPU WY,32.5859168,-117.0691105
10/22/2011,10:45,5,7600 HAZARD CENTER DR,32.7705288,-117.1583268
10/22/2011,14:00,6,10000 CARMEL MOUNTAIN RD,32.9608837,-117.110751
